county_name,subyr,rpts,pop,rpt_rt
alamance,2010,132,1826,72.28915662650603
alamance,2011,149,1669,89.27501497902935
alamance,2012,141,1635,86.23853211009175
alamance,2013,138,1714,80.51341890315052
alamance,2014,134,1663,80.57726999398677
alamance,2015,117,1685,69.43620178041543
alamance,2016,146,1730,84.39306358381504
alamance,2017,185,1848,100.1082251082251
alamance,2018,219,1839,119.08646003262642
brunswick,2010,111,1069,103.8353601496726
brunswick,2011,95,1015,93.59605911330048
brunswick,2013,107,1081,98.98242368177614
brunswick,2015,114,1075,106.04651162790697
buncombe,2010,372,2611,142.47414783607812
buncombe,2011,353,2634,134.01670463173878
buncombe,2012,406,2631,154.31394906879515
buncombe,2013,432,2713,159.23332104681165
buncombe,2014,417,2641,157.89473684210526
buncombe,2015,385,2712,141.9616519174041
buncombe,2016,363,2677,135.59955173701906
buncombe,2017,380,2541,149.547422274695
buncombe,2018,317,2526,125.4948535233571
cabarrus,2010,157,2375,66.10526315789474
cabarrus,2011,173,2203,78.52927825692238
cabarrus,2012,163,2222,73.35733573357335
cabarrus,2013,154,2205,69.84126984126985
cabarrus,2014,134,2324,57.6592082616179
cabarrus,2015,130,2307,56.35023840485479
cabarrus,2016,152,2430,62.55144032921811
cabarrus,2017,148,2550,58.03921568627451
cabarrus,2018,180,2387,75.4084625052367
catawba,2010,266,1804,147.45011086474503
catawba,2011,260,1782,145.9034792368126
catawba,2012,252,1829,137.78020776380538
catawba,2013,256,1775,144.22535211267606
catawba,2014,264,1724,153.1322505800464
catawba,2015,286,1779,160.76447442383363
catawba,2016,301,1731,173.88792605430388
catawba,2017,281,1694,165.87957497048404
catawba,2018,189,1649,114.61491813220132
cleveland,2010,224,1082,207.02402957486137
cleveland,2011,131,1091,120.07332722273144
cleveland,2012,141,1064,132.5187969924812
cleveland,2013,182,1057,172.18543046357615
cleveland,2014,178,1028,173.15175097276264
cleveland,2015,159,1029,154.51895043731778
cleveland,2016,145,1045,138.755980861244
cleveland,2017,198,1042,190.01919385796546
cleveland,2018,240,1016,236.2204724409449
craven,2010,183,1565,116.93290734824281
craven,2011,185,1727,107.12217718587145
craven,2012,138,1583,87.17624763108023
craven,2013,132,1431,92.24318658280922
craven,2014,140,1461,95.82477754962355
craven,2015,153,1476,103.65853658536585
craven,2016,119,1398,85.12160228898426
craven,2017,118,1392,84.77011494252874
craven,2018,118,1342,87.9284649776453
cumberland,2010,649,5569,116.5379780930149
cumberland,2011,716,5887,121.62391710548665
cumberland,2012,742,5570,133.21364452423697
cumberland,2013,670,5459,122.73310130060452
cumberland,2014,682,5800,117.58620689655172
cumberland,2015,619,5376,115.14136904761904
cumberland,2016,670,5330,125.70356472795497
cumberland,2017,595,5353,111.1526246964319
cumberland,2018,649,5206,124.66384940453324
davidson,2010,205,1825,112.32876712328766
davidson,2011,223,1682,132.58026159334128
davidson,2012,209,1708,122.36533957845432
davidson,2013,178,1648,108.00970873786407
davidson,2014,235,1728,135.99537037037038
davidson,2015,230,1626,141.45141451414514
davidson,2016,236,1703,138.57897827363476
davidson,2017,240,1735,138.328530259366
davidson,2018,258,1695,152.21238938053096
durham,2010,275,3915,70.24265644955301
durham,2011,262,3853,67.99896184791072
durham,2012,312,3935,79.28843710292249
durham,2013,290,4190,69.21241050119332
durham,2014,298,4346,68.56879889553613
durham,2015,262,3981,65.8126098970108
durham,2016,197,3989,49.38581098019554
durham,2017,273,4226,64.600094652153345
durham,2018,255,3950,64.55696202531645
forsyth,2010,324,4625,70.05405405405406
forsyth,2011,335,4386,76.37938896488829
forsyth,2012,334,4464,74.82078853046595
forsyth,2013,312,4464,69.89247311827957
