.imp,year,race_ethn,age,var,pop,m,q,p,lx,d,L,t,e,c,s,se,c_mn,se_tot,c_upr,c_lwr
1,2004,AI/AN,0,15632,561517,0.027838872197992224,0.02745669054841367,0.9725433094515863,100000,2745.6690548413753,98627.1654725793,1708650.9779900531,17.08650977990053,0,1,0,0,0,0,0
1,2004,AI/AN,1,7878,544605,0.014465530063073237,0.014361655582779138,0.9856383444172209,97254.33094515862,1396.7332049679826,96555.96434267463,1610023.812517474,16.55477752888312,0.02745669054841371,0.9725433094515863,5.334718381439617e-4,0.02745079959256038,5.359539309416395e-4,0.028501269297205995,0.026400329887914766
1,2004,AI/AN,2,6901,541630,0.012741170171519304,0.012660515281687752,0.9873394847183122,95857.59774019064,1213.6065810555592,95250.79444966286,1513467.8481747992,15.78871037720822,0.041424022598093524,0.9585759774019065,5.258102993414259e-4,0.041477357986540044,5.288755862263661e-4,0.04251395413554372,0.040440761837536365
1,2004,AI/AN,3,6221,542555,0.011466118642349624,0.011400757423733037,0.988599242576267,94643.99115913508,1079.0131848192395,94104.48456672547,1418217.0537251364,14.984755359064858,0.05356008840864912,0.9464399115913509,5.19153270011345e-4,0.053655732179628046,5.234449905855333e-4,0.054681684361175695,0.0526297799980804
1,2004,AI/AN,4,5463,542057,0.010078275900873894,0.010027744711938671,0.9899722552880613,93564.97797431584,938.2457131045958,93095.85511776354,1324112.569158411,14.151796941820345,0.06435022025684156,0.9356497797431584,5.132345295142079e-4,0.06445063687873062,5.168382990198053e-4,0.06546363994480944,0.0634376338126518
1,2004,AI/AN,5,5284,535834,0.009861263003094242,0.009812879311241356,0.9901871206887587,92626.73226121125,908.9349446739216,92172.26478887428,1231016.7140406473,13.290080347098167,0.07373267738788758,0.9262673226121124,5.080879446748874e-4,0.07385156424298818,5.145546603443591e-4,0.07486009137726313,0.07284303710871323
1,2004,AI/AN,6,4892,526029,0.009299867497799551,0.009256823880032168,0.9907431761199679,91717.79731653733,849.0154964236863,91293.28956832548,1138844.449251773,12.416831657234226,0.0828220268346267,0.9171779731653733,5.031021389942962e-4,0.08289011369061676,5.060624954131807e-4,0.08388199618162659,0.08189823119960693
1,2004,AI/AN,7,4387,522244,0.008400287987990288,0.008365153140269336,0.9916348468597307,90868.78182011364,760.1312755949621,90488.71618231616,1047551.1596834476,11.528174348779197,0.09131218179886358,0.9086878182011364,4.984450110999584e-4,0.09139380185434103,5.030042025027131e-4,0.09237969009124634,0.0904079136174357
1,2004,AI/AN,8,4259,521991,0.008159144506322906,0.008125993926969085,0.9918740060730309,90108.65054451868,732.2223470921454,89742.5393709726,957062.4435011314,10.621204931132437,0.09891349455481324,0.9010865054451868,4.942754422501041e-4,0.09901444495653096,4.988174776774207e-4,0.0999921272127787,0.09803676270028322
1,2004,AI/AN,9,3768,521753,0.007221808020270128,0.007195824588407619,0.9928041754115924,89376.42819742653,643.1370996470941,89054.85964760298,867319.9041301588,9.704123577352044,0.10623571802573473,0.8937642819742653,4.902589630081298e-4,0.10633413627065516,4.94278515049267e-4,0.10730292216015172,0.1053653503811586
1,2004,AI/AN,10,3503,550985,0.0063577048376997555,0.006337558673979373,0.9936624413260207,88733.29109777944,562.352438667469,88452.1148784457,778265.0444825558,8.770834878928907,0.11266708902220557,0.8873329109777944,4.8673114550742866e-4,0.1127913257409731,4.926670789147151e-4,0.11375695321564594,0.11182569826630026
