state,staterr,varname,year,race_ethn,age,c_mn,se_tot,c_upr,c_lwr
1,AL,Foster Care,2008,AI/AN,18,0.003044140030441289,0.0030441435781896112,0.009010661443692926,0
1,AL,Investigation,2008,AI/AN,18,0.06344577450969031,0.017665126984316843,0.09806942339895133,0.028822125620429302
1,AL,Confirmed Maltreatment,2008,AI/AN,18,0.02525744143510783,0.010146696518386204,0.04514496661114479,0.005369916259070871
1,AL,Termination,2008,AI/AN,18,0,0,0,0
1,AL,Foster Care,2009,AI/AN,18,0.03509655029064758,0.009218254794782133,0.05316432968842056,0.0170287708928746
1,AL,Investigation,2009,AI/AN,18,0.13930486249334462,0.018941927924978754,0.176431041226303,0.10217868376038626
1,AL,Confirmed Maltreatment,2009,AI/AN,18,0.0562815022530441,0.012149113772798713,0.08009376524772957,0.03246923925835862
1,AL,Termination,2009,AI/AN,18,0.005952380952380931,0.004208987800586491,0.014201997041530454,0
1,AL,Foster Care,2010,AI/AN,18,0.01583740126980933,0.005609956494960506,0.02683291599993192,0.004841886539686738
1,AL,Investigation,2010,AI/AN,18,0.1303196117718822,0.015417520672445333,0.16053795228987505,0.10010127125388935
1,AL,Confirmed Maltreatment,2010,AI/AN,18,0.04175404566986031,0.009726087061396743,0.060817176310197923,0.022690915029522692
1,AL,Termination,2010,AI/AN,18,0.008382229673092989,0.003748680553143133,0.01572964355725353,0.0010348157889324477
1,AL,Foster Care,2011,AI/AN,18,0.013718584335633152,0.00514872513805421,0.023810085606219403,0.0036270830650469
1,AL,Investigation,2011,AI/AN,18,0.09598484078610846,0.012880137336985651,0.12122990996660034,0.07073977160561658
1,AL,Confirmed Maltreatment,2011,AI/AN,18,0.055940877495005675,0.010189715216664284,0.07591271931966767,0.03596903567034368
1,AL,Termination,2011,AI/AN,18,0.009639703904195662,0.004308924201204185,0.018085195338555862,0.0011942124698354605
1,AL,Foster Care,2012,AI/AN,18,0.008932173759151923,0.004627761223191741,0.018002585756607736,0
1,AL,Investigation,2012,AI/AN,18,0.08047222120743634,0.015602944922111533,0.11105399325477494,0.04989044916009774
1,AL,Confirmed Maltreatment,2012,AI/AN,18,0.036818255495531374,0.009879694986038842,0.056182457668167506,0.017454053322895242
1,AL,Termination,2012,AI/AN,18,0.00666666666666671,0.004714071749986243,0.015906247296639746,0
1,AL,Foster Care,2013,AI/AN,18,0.023163984373728908,0.007564677821150916,0.0379907529031847,0.008337215844273112
1,AL,Investigation,2013,AI/AN,18,0.06413354941530379,0.012839064598638946,0.08929811602863613,0.038968982801971454
1,AL,Confirmed Maltreatment,2013,AI/AN,18,0.035938188230033835,0.009011793872217847,0.053601304219580814,0.018275072240486856
1,AL,Termination,2013,AI/AN,18,0.007172889690624573,0.0043014168477487486,0.01560366671221212,0
1,AL,Foster Care,2014,AI/AN,18,0.008787639962894597,0.004480757606545467,0.01756992487172371,5.3550540654832834e-6
1,AL,Investigation,2014,AI/AN,18,0.04887314826704682,0.012189063043692556,0.07276371183268424,0.02498258470140941
1,AL,Confirmed Maltreatment,2014,AI/AN,18,0.01137389372236386,0.005385189174502366,0.021928864504388496,8.189229403392229e-4
1,AL,Termination,2014,AI/AN,18,3.7707390648566985e-4,0.0015023931600182134,0.003321764500121368,0
1,AL,Foster Care,2015,AI/AN,18,0.004959736207436949,0.0035337449011958295,0.011885876213780774,0
1,AL,Investigation,2015,AI/AN,18,0.08053148977615182,0.013536967810143984,0.10706394668403403,0.05399903286826961
1,AL,Confirmed Maltreatment,2015,AI/AN,18,0.02604267254114795,0.007887042597484089,0.04150127603221676,0.010584069050079135
1,AL,Termination,2015,AI/AN,18,0,0,0,0
1,AL,Foster Care,2016,AI/AN,18,0.015575118509288916,0.005543017875816817,0.026439433545889877,0.004710803472687954
1,AL,Investigation,2016,AI/AN,18,0.10824244998001976,0.014215150582504955,0.13610414512172947,0.08038075483831006
1,AL,Confirmed Maltreatment,2016,AI/AN,18,0.03320257266218116,0.00830201367378582,0.04947451946280136,0.016930625861560952
1,AL,Termination,2016,AI/AN,18,0,0,0,0
1,AL,Foster Care,2017,AI/AN,18,0.02022774193353774,0.00638781602859181,0.03274786134957769,0.007707622517497794
1,AL,Investigation,2017,AI/AN,18,0.16134234696173308,0.01671649501034325,0.19410667718200586,0.1285780167414603
1,AL,Confirmed Maltreatment,2017,AI/AN,18,0.05305462751864028,0.011057895842543826,0.07472810337002618,0.03138115166725437
1,AL,Termination,2017,AI/AN,18,0,0,0,0
1,AL,Foster Care,2018,AI/AN,18,0.029518740496819282,0.0075911606969399775,0.04439741546282164,0.014640065530816926
1,AL,Investigation,2018,AI/AN,18,0.10594459533389515,0.013882697942108032,0.1331546833004269,0.07873450736736341
1,AL,Confirmed Maltreatment,2018,AI/AN,18,0.039918857441002084,0.008988708491433958,0.05753672608421264,0.022300988797791528
1,AL,Termination,2018,AI/AN,18,0,0,0,0
2,AK,Foster Care,2008,AI/AN,18,0.18717578037733384,0.007773027232830692,0.202410913753682,0.17194064700098569
2,AK,Investigation,2008,AI/AN,18,0.8432970669294891,0.004897197724863041,0.8528955744702207,0.8336985593887576
2,AK,Confirmed Maltreatment,2008,AI/AN,18,0.5403514456932149,0.008748122668458097,0.5574977661233927,0.5232051252630371
2,AK,Termination,2008,AI/AN,18,0.1709385827292207,0.007492124501055407,0.1856231467512893,0.15625401870715208
2,AK,Foster Care,2009,AI/AN,18,0.18654838388956013,0.00775574249245102,0.20174963917476413,0.17134712860435614
2,AK,Investigation,2009,AI/AN,18,0.7105066263491828,0.007156444865518838,0.7245332582855998,0.6964799944127659
2,AK,Confirmed Maltreatment,2009,AI/AN,18,0.4878681840513197,0.00899069579105225,0.5054899478017821,0.4702464203008573
2,AK,Termination,2009,AI/AN,18,0.16906852998517452,0.007447949415254416,0.18366651083907318,0.15447054913127586
2,AK,Foster Care,2010,AI/AN,18,0.16549642923135527,0.007347136928566853,0.1798968176113463,0.15109604085136424
2,AK,Investigation,2010,AI/AN,18,0.619243379511452,0.008156590105366901,0.6352302961179711,0.603256462904933
2,AK,Confirmed Maltreatment,2010,AI/AN,18,0.3905159582880353,0.009154325168711017,0.4084584356187089,0.3725734809573617
2,AK,Termination,2010,AI/AN,18,0.16473647610125958,0.007320033939255469,0.17908374262220028,0.15038920958031887
2,AK,Foster Care,2011,AI/AN,18,0.1765577585900066,0.007571507288833617,0.19139791287612049,0.16171760430389273
2,AK,Investigation,2011,AI/AN,18,0.643352081795314,0.0078414974017011509,0.6587214167026483,0.6279827468879797
2,AK,Confirmed Maltreatment,2011,AI/AN,18,0.4024300363961068,0.009084019777471471,0.42023471515995087,0.38462535763226274
2,AK,Termination,2011,AI/AN,18,0.16165394732602395,0.007295629392558915,0.1759533809354394,0.1473545137166085
2,AK,Foster Care,2012,AI/AN,18,0.17687666677053684,0.007500180004725488,0.1915770195797988,0.16217631396127488
2,AK,Investigation,2012,AI/AN,18,0.6933414477900993,0.007253596953710279,0.7075584978193714,0.6791243977608272
2,AK,Confirmed Maltreatment,2012,AI/AN,18,0.3949559475922617,0.009120203722180378,0.41283154688773527,0.37708034829678816
2,AK,Termination,2012,AI/AN,18,0.1422751313865173,0.006772538531396186,0.15554930690805382,0.12900095586498075
2,AK,Foster Care,2013,AI/AN,18,0.17698596525877133,0.007406409208547772,0.19150252730752496,0.1624694032100177
2,AK,Investigation,2013,AI/AN,18,0.6788991173608246,0.007728495446284136,0.6940469684355416,0.6637512662861077
2,AK,Confirmed Maltreatment,2013,AI/AN,18,0.3685291004375211,0.009064724922990125,0.3862959612865817,0.3507622395884604
2,AK,Termination,2013,AI/AN,18,0.14306187962870615,0.006771934704113477,0.15633487164876855,0.12978888760864374
2,AK,Foster Care,2014,AI/AN,18,0.20718140517979067,0.007797423224349501,0.2224643546995157,0.19189845566006564
2,AK,Investigation,2014,AI/AN,18,0.7126863857468229,0.006928923342967686,0.7262670754990396,0.6991056959946061
2,AK,Confirmed Maltreatment,2014,AI/AN,18,0.3472293168651507,0.008915878792442608,0.3647044392983382,0.3297541944319632
2,AK,Termination,2014,AI/AN,18,0.1057975008383272,0.00595527448504231,0.11746983882901013,0.09412516284764427
2,AK,Foster Care,2015,AI/AN,18,0.2417019279244486,0.008309142539702878,0.25798784730226626,0.22541600854663096
2,AK,Investigation,2015,AI/AN,18,0.7443326245942823,0.007026784743472347,0.7581051226914881,0.7305601264970765
2,AK,Confirmed Maltreatment,2015,AI/AN,18,0.39000255869732364,0.008933814061525129,0.4075128342579129,0.3724922831367344
2,AK,Termination,2015,AI/AN,18,0.10183983327139991,0.005846763696357018,0.11329949011625966,0.09038017642654016
2,AK,Foster Care,2016,AI/AN,18,0.2147525946727241,0.007849832880172013,0.23013826711786123,0.19936692222758695
2,AK,Investigation,2016,AI/AN,18,0.7635549382609484,0.006371236728342096,0.776042562248499,0.7510673142733979
2,AK,Confirmed Maltreatment,2016,AI/AN,18,0.42366098260686663,0.008807377977029688,0.4409234434418448,0.40639852177188845
2,AK,Termination,2016,AI/AN,18,0.03512708149314532,0.003613320768850535,0.04220919020009237,0.02804497278619827
2,AK,Foster Care,2017,AI/AN,18,0.2385919144342089,0.008198208895684175,0.25466040386974986,0.22252342499866792
2,AK,Investigation,2017,AI/AN,18,0.8842930379926163,0.0039228146814919524,0.8919817547683405,0.876604321216892
2,AK,Confirmed Maltreatment,2017,AI/AN,18,0.5124564865447776,0.008653569882129541,0.5294174835137515,0.4954954895758037
2,AK,Termination,2017,AI/AN,18,0.015806907909034412,0.002549347977627859,0.020803629945185018,0.010810185872883809
2,AK,Foster Care,2018,AI/AN,18,0.25604707467136917,0.008457301108086098,0.2726233848432179,0.23947076449952043
2,AK,Investigation,2018,AI/AN,18,0.7282885945441976,0.006879852133627176,0.7417731047261068,0.7148040843622884
2,AK,Confirmed Maltreatment,2018,AI/AN,18,0.36855000137913196,0.008955120906649553,0.3861020383561651,0.35099796440209885
2,AK,Termination,2018,AI/AN,18,0.0012336608161636065,8.002660224664713e-4,0.00280218222019789,0
4,AZ,Foster Care,2008,AI/AN,18,0.06909251846392815,0.003081191877195204,0.07513165454323076,0.06305338238462554
4,AZ,Investigation,2008,AI/AN,18,0.24223330849881847,0.005151139598829185,0.2523295421125237,0.23213707488511326
4,AZ,Confirmed Maltreatment,2008,AI/AN,18,0.03122486421870553,0.002132634481525513,0.035404827802495535,0.027044900634915527
4,AZ,Termination,2008,AI/AN,18,0.03491705099391085,0.0021916848090202472,0.03921275321959053,0.030621348768231162
4,AZ,Foster Care,2009,AI/AN,18,0.05835564732037073,0.0027861546272010987,0.06381651038968487,0.05289478425105657
4,AZ,Investigation,2009,AI/AN,18,0.26035088140760354,0.005116090198931796,0.27037841819750985,0.25032334461769723
4,AZ,Confirmed Maltreatment,2009,AI/AN,18,0.03740219032198064,0.0022900547514725133,0.04189069763486676,0.032913683009094516
4,AZ,Termination,2009,AI/AN,18,0.028506545992302942,0.0019607239824782625,0.03234956499796034,0.024663526986645548
4,AZ,Foster Care,2010,AI/AN,18,0.06193043664293624,0.0029192300154420167,0.0676521274732026,0.05620874581266989
4,AZ,Investigation,2010,AI/AN,18,0.21870994823825501,0.004863196842426778,0.2282418140494115,0.20917808242709854
4,AZ,Confirmed Maltreatment,2010,AI/AN,18,0.06574736084824973,0.003016927007472883,0.07166053778289658,0.05983418391360287
4,AZ,Termination,2010,AI/AN,18,0.04463546765883228,0.0024558022250530166,0.04944884001993619,0.039822095297728365
4,AZ,Foster Care,2011,AI/AN,18,0.07159181260589742,0.0031050008578367943,0.07767761428725754,0.0655060109245373
4,AZ,Investigation,2011,AI/AN,18,0.2578068870234239,0.0051166839576557615,0.2678355875804292,0.2477781864664186
4,AZ,Confirmed Maltreatment,2011,AI/AN,18,0.07450067812982429,0.003133211113926588,0.0806417719131204,0.06835958434652818
4,AZ,Termination,2011,AI/AN,18,0.04232433513314643,0.002412710920756549,0.047053248537829266,0.03759542172846359
4,AZ,Foster Care,2012,AI/AN,18,0.09340733422825129,0.0034544225444947184,0.10017800241546093,0.08663666604104164
4,AZ,Investigation,2012,AI/AN,18,0.28367540174474354,0.005176098634115096,0.2938205550676091,0.27353024842187795
4,AZ,Confirmed Maltreatment,2012,AI/AN,18,0.10952661773038963,0.003684371793360345,0.1167479864453759,0.10230524901540336
4,AZ,Termination,2012,AI/AN,18,0.07389062132821159,0.003073935927645398,0.07991553574639657,0.06786570691002661
4,AZ,Foster Care,2013,AI/AN,18,0.08763338748800795,0.0033432909206173233,0.0941862376924179,0.08108053728359799
4,AZ,Investigation,2013,AI/AN,18,0.3055732306504045,0.005214526958320213,0.3157937034887121,0.29535275781209686
4,AZ,Confirmed Maltreatment,2013,AI/AN,18,0.12200741493664878,0.003876546735685309,0.129605446538592,0.11440938333470557
4,AZ,Termination,2013,AI/AN,18,0.06676584918564729,0.0029546456304328232,0.07255695462129562,0.06097474374999896
4,AZ,Foster Care,2014,AI/AN,18,0.09137265470236455,0.003375702083318031,0.0979890307856679,0.08475627861906121
4,AZ,Investigation,2014,AI/AN,18,0.30443890550486125,0.005354215471701476,0.3149331678293961,0.29394464318032637
