state,staterr,varname,race_ethn,age,c_mn,se_tot,c_upr,c_lwr
1,AL,Foster Care,AI/AN,18,0.016121342745541986,0.05068706513641844,0.11546799041292213,0
1,AL,Investigation,AI/AN,18,0.10115842076441964,0.07804372072227495,0.25412411338007856,0
1,AL,Confirmed Maltreatment,AI/AN,18,0.0329672242380918,0.060956166678046445,0.1524413109270628,0
1,AL,Termination,AI/AN,18,5.985156811108561e-5,0.007736379633131732,0.01522315564904928,0
2,AK,Foster Care,AI/AN,18,0.2311808195160247,0.059820385501808765,0.3484287750995699,0.11393286393247953
2,AK,Investigation,AI/AN,18,0.7764123594169262,0.05129794623192409,0.8769563340314974,0.675868384802355
2,AK,Confirmed Maltreatment,AI/AN,18,0.4106571084988267,0.06270509427894254,0.5335590932855541,0.2877551237120993
2,AK,Termination,AI/AN,18,0.053735291955860395,0.04450843593734824,0.14097182639306294,0
4,AZ,Foster Care,AI/AN,18,0.09311579730729808,0.03889827745412006,0.1693564211173734,0.016875173497222756
4,AZ,Investigation,AI/AN,18,0.35039646450304934,0.04802785558432174,0.44453106144831994,0.25626186755777874
4,AZ,Confirmed Maltreatment,AI/AN,18,0.12009096850815416,0.04101100324900767,0.2004725348762092,0.03970940214009913
4,AZ,Termination,AI/AN,18,0.03425299900072,0.030911834163511957,0.09484019396120344,0
5,AR,Foster Care,AI/AN,18,0.09925484748922697,0.07718427075046377,0.25053601816013593,0
5,AR,Investigation,AI/AN,18,0.4214919201451624,0.09418953524315213,0.6061034092217406,0.23688043106858422
5,AR,Confirmed Maltreatment,AI/AN,18,0.16997397186561186,0.08571062814570288,0.33796680303118953,0.0019811407000342174
5,AR,Termination,AI/AN,18,0.045158483589930354,0.06484933456884011,0.17226317934485696,0
6,CA,Foster Care,AI/AN,18,0.07862741872343885,0.033762349911322306,0.14480162454963058,0.012453212897247129
6,CA,Investigation,AI/AN,18,0.186618300715173,0.04000685353065305,0.26503173363525295,0.10820486779509302
6,CA,Confirmed Maltreatment,AI/AN,18,0.09369595168036589,0.03501065986138192,0.16231684500867444,0.02507505835205734
6,CA,Termination,AI/AN,18,0.02377771100856982,0.025813005878372035,0.07437120253017901,0
8,CO,Foster Care,AI/AN,18,0.048701517053367435,0.04799319540733304,0.1427681800517402,0
8,CO,Investigation,AI/AN,18,0.18289640992516237,0.06334232008498805,0.30704735729173893,0.05874546255858579
8,CO,Confirmed Maltreatment,AI/AN,18,0.08469231580691812,0.054406208988147964,0.19132848542368813,0
8,CO,Termination,AI/AN,18,0.00623757978391852,0.028930700447470894,0.06294175266096147,0
9,CT,Foster Care,AI/AN,18,0.03545707193112477,0.06578836503439502,0.164402267398539,0
9,CT,Investigation,AI/AN,18,0.15041851734848877,0.09030374612580938,0.32741385975507514,0
9,CT,Confirmed Maltreatment,AI/AN,18,0.08165961721441327,0.07961464720656755,0.23770432573928568,0
9,CT,Termination,AI/AN,18,0.0018283407086556597,0.031361734762483835,0.06329734084312397,0
10,DE,Foster Care,AI/AN,18,0.0019474196689386325,0.04412958866486698,0.08844141345207791,0
10,DE,Investigation,AI/AN,18,0.08057488754833048,0.11225973756743149,0.3006039731804962,0
10,DE,Confirmed Maltreatment,AI/AN,18,0.023119044057602567,0.08410463364953961,0.1879641260107002,0
10,DE,Termination,AI/AN,18,0,0,0,0
11,DC,Foster Care,AI/AN,18,0.018331769640089868,0.09656838429961509,0.20760580286733543,0
11,DC,Investigation,AI/AN,18,0.017572135520912968,0.08460651579584152,0.18340090648076235,0
11,DC,Confirmed Maltreatment,AI/AN,18,6.353401813303933e-4,0.025205965965492183,0.05003903347369507,0
11,DC,Termination,AI/AN,18,0,0,0,0
12,FL,Foster Care,AI/AN,18,0.035967871752966896,0.04782063726721428,0.1296963207967069,0
12,FL,Investigation,AI/AN,18,0.19712779305985348,0.06819144943918837,0.33078303396066266,0.0634725521590443
12,FL,Confirmed Maltreatment,AI/AN,18,0.06412093673503096,0.05450906331969011,0.17095870084162357,0
12,FL,Termination,AI/AN,18,0.008584411433797928,0.03408498640555967,0.07539098478869487,0
13,GA,Foster Care,AI/AN,18,0.014075781357192868,0.04113544932226246,0.09470126202882728,0
13,GA,Investigation,AI/AN,18,0.126850363916601,0.06824263687111724,0.2606059321839908,0
13,GA,Confirmed Maltreatment,AI/AN,18,0.011729198720310224,0.03940335186841267,0.08895976838239907,0
13,GA,Termination,AI/AN,18,0.003063827329374158,0.028125276856750606,0.058189369968605346,0
15,HI,Foster Care,AI/AN,18,0.3013875081354795,0.14874640520388427,0.5929304623350926,0.009844553935866307
15,HI,Investigation,AI/AN,18,0.621926448054219,0.1424061538836844,0.9010425096662404,0.3428103864421976
15,HI,Confirmed Maltreatment,AI/AN,18,0.3983184961637717,0.15147266565491435,0.6952049208474038,0.10143207148013955
15,HI,Termination,AI/AN,18,0.06976845042628274,0.11192899367496029,0.28914927802920487,0
16,ID,Foster Care,AI/AN,18,0.05528546121095483,0.06284630399165843,0.17846421703460535,0
16,ID,Investigation,AI/AN,18,0.16043429821560787,0.07906642930478201,0.3154044996529806,0.005464096778235117
