subyr,race_ethn,total_report,pop,rpt_rt
2010,AI/AN,321,1460,219.86301369863014
2010,Asian/PI,101,2976,33.93817204301075
2010,Black,4882,26466,184.4630847124613
2010,Latinx,1014,15081,67.23692062860553
2010,White,5327,53554,99.46969414049371
2011,AI/AN,335,1443,232.15523215523214
2011,Asian/PI,106,3280,32.31707317073171
2011,Black,4848,26817,180.78084796957154
2011,Latinx,949,14013,67.72282880182688
2011,White,5324,54310,98.02982876081754
2012,AI/AN,379,1871,202.56547300908605
2012,Asian/PI,118,3650,32.328767123287676
2012,Black,4871,27479,177.262636922741
2012,Latinx,980,12751,76.85671712022587
2012,White,5392,52708,102.2994611823632
2013,AI/AN,352,1597,220.41327489041953
2013,Asian/PI,97,4472,21.69051878354204
2013,Black,4991,27081,184.29895498689118
2013,Latinx,920,12733,72.25320034555878
2013,White,5389,52236,103.16639865227047
2014,AI/AN,379,1885,201.0610079575597
2014,Asian/PI,113,4406,25.646845211075803
2014,Black,5030,27409,183.51636323835234
2014,Latinx,890,12755,69.7765582124657
2014,White,5350,51801,103.27985946217255
2015,AI/AN,366,1998,183.1831831831832
2015,Asian/PI,105,4037,26.009412930393857
2015,Black,5233,27547,189.96623951791483
2015,Latinx,937,13075,71.66347992351817
2015,White,5470,53358,102.51508677236778
2016,AI/AN,283,1718,164.72642607683352
2016,Asian/PI,99,4364,22.685609532538955
2016,Black,5301,27227,194.6964410327983
2016,Latinx,952,13302,71.56818523530296
2016,White,5465,51878,105.3433054473958
2017,AI/AN,276,1522,181.34034165571617
2017,Asian/PI,96,4281,22.42466713384723
2017,Black,5527,27522,200.82116125281593
2017,Latinx,985,14202,69.35642867201803
2017,White,5783,51357,112.6039293572444
2018,AI/AN,304,1411,215.45003543586108
2018,Asian/PI,76,3132,24.265644955300125
2018,Black,5210,25838,201.64099388497561
2018,Latinx,905,14119,64.09802393937247
2018,White,5377,49219,109.24642922448648
